code,bench_name,current_name,lat,lon,id_trazado,tipo_esta,num_vag,area_est,long_est,ancho_est,num_acc,acc_puent,esta_oper,match_status,in_benchmark_147
06105,Quinta Paredes,Quinta Paredes,4.63750353,-74.09313226,TZ016,4,2,289.47,96.49,3.0,1,1,1,geojson,True
06106,Recinto Ferial,Corferias,4.63430649,-74.08970085,TZ016,4,2,424.28,106.07,4.0,1,0,1,geojson,True
06107,Ciudad Universitaria,Ciudad Universitaria - Lotería de Bogotá,4.63087543,-74.08352723,TZ016,4,2,522.68,130.67,4.0,2,1,1,geojson,True
06108,Concejo de Bogotá,Concejo de Bogotá,4.62598737,-74.08028966,TZ016,4,2,491.52,122.88,4.0,1,0,1,geojson,True
06109,Centro Memoria,Centro Memoria,4.62046499,-74.07632059000001,TZ016,4,2,520.04,130.01,4.0,2,0,1,geojson,True
06111,Universidades,Universidades – CityU,4.60464623,-74.06731585,TZ016,3,2,491.4,122.85,4.0,2,0,1,geojson,True
07000,Portal Sur,Portal Sur - JFK Coop. Financiera,4.59693995,-74.16929784,TZ010,1,1,0.0,416.61,0.0,2,2,1,geojson,True
07001,PERDOMO,Perdomo,4.59578778,-74.16496973000001,TZ010,4,2,396.96,99.24,4.0,1,1,1,geojson,True
07002,MADELENA,CC Paseo Villa del Río - Madelena,4.59628094,-74.15688105000001,TZ010,4,2,357.0,89.25,4.0,1,1,1,geojson,True
07003,SEVILLANA,Sevillana,4.59510726,-74.14741029000001,TZ010,4,2,397.12,99.28,4.0,1,1,1,geojson,True
07004,VENECIA,Venecia,4.59556283,-74.14264921,TZ010,4,2,423.72,105.93,4.0,1,1,1,geojson,True
07005,ALQUERIA,Alquería,4.59426993,-74.13426993,TZ010,4,2,357.0,89.25,4.0,1,1,1,geojson,True
07006,General Santander,General Santander,4.59355114,-74.12954496,TZ010,2,3,0.0,122.8,0.0,1,1,1,geojson,True
07007,NQS - Calle 38A Sur,Cl38A sur - CENTRO MAYOR,4.59380944,-74.12375508,TZ010,4,2,615.8,153.95,4.0,1,1,1,geojson,True
07008,NQS - Calle 30 Sur,NQS - Calle 30 S,4.59479847,-74.11788075,TZ010,4,2,358.48,89.62,4.0,1,0,1,geojson,True
07009,SENA,SENA,4.59737051,-74.11064255000001,TZ010,4,2,400.04,100.01,4.0,1,1,1,geojson,True
